Date,ChangeTemperature,ChangePrecipitation,Hotspots,Temperature,Precipitation,Story
January 2001,4.89%,-16.74%,21531,29.0295,63.7016,
February 2001,1.41%,48.69%,1899,27.476,112.258,
March 2001,-2.66%,38.11%,2932,24.5815,79.3673,
April 2001,1.51%,-45.13%,10811,21.971,16.0318,
May 2001,-1.60%,-42.76%,18453,17.4261,15.4872,
June 2001,5.92%,-2.87%,4658,15.585,24.93,
July 2001,3.68%,1.54%,9082,14.3675,23.1264,
August 2001,0.94%,-25.80%,29492,15.7516,13.913,
September 2001,4.87%,0.82%,38716,19.7582,17.3694,
October 2001,-4.81%,56.48%,28460,21.1909,37.6774,
November 2001,-2.37%,44.35%,31275,24.4735,46.36,
December 2001,-2.86%,-2.71%,24384,26.0967,51.0908,
January 2002,-0.19%,-21.46%,11528,27.6223,60.087,
February 2002,-2.83%,39.35%,3461,26.3276,105.206,
March 2002,1.56%,-62.14%,3072,25.648,21.7549,
April 2002,8.90%,-55.36%,9280,23.5724,13.0428,
May 2002,8.10%,-57.95%,11784,19.1452,11.3781,
June 2002,3.49%,-37.20%,8157,15.2271,16.1196,
July 2002,4.49%,-63.83%,21677,14.4791,8.2371,
August 2002,2.16%,-32.37%,28059,15.9424,12.6798,
September 2002,5.58%,-35.66%,36284,19.8917,11.085,
October 2002,4.81%,-71.54%,81981,23.3329,6.85245,
November 2002,6.06%,-22.65%,65734,26.5885,24.8415,
December 2002,3.32%,-32.52%,36297,27.7587,35.4367,
January 2003,3.30%,-11.81%,33528,28.5896,67.4694,Bushfires run through ACT
February 2003,3.54%,55.82%,9305,28.0535,117.643,
March 2003,-1.02%,-32.35%,4666,24.9951,38.8759,
April 2003,4.69%,-5.43%,8679,22.6592,27.6298,
May 2003,6.42%,-41.10%,17837,18.8473,15.9358,
June 2003,6.32%,-18.72%,12127,15.6438,20.8619,
July 2003,7.42%,-31.59%,10450,14.8848,15.5813,
August 2003,3.80%,54.73%,9922,16.1982,29.0122,
September 2003,6.33%,-20.90%,22747,20.0326,13.6276,
