latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
-21.702,114.999,307.7,2.2,1.4,2017-08-13,1436,Terra,MODIS,72,6.1,290.6,27.8
-21.71,114.992,320.3,3.8,1.8,2017-08-13,0648,Aqua,MODIS,0,6.1,296.7,75.9
-21.699,115.003,315.9,1,1,2017-08-13,1743,Aqua,MODIS,92,6.1,291.9,15.1
-21.7,114.997,328.8,1.4,1.2,2017-08-14,1519,Terra,MODIS,100,6.1,291.1,44.2
-21.702,114.984,302.2,1.4,1.2,2017-08-14,1519,Terra,MODIS,44,6.1,290.3,7.2
-21.693,115.003,308.4,1.4,1.2,2017-08-14,1519,Terra,MODIS,74,6.1,290.6,13.2
-21.699,114.997,324.1,1.3,1.1,2017-08-14,0553,Aqua,MODIS,40,6.1,301.9,17.9
-21.697,114.99,304.7,1.2,1.1,2017-08-15,1731,Aqua,MODIS,61,6.1,287,9.7
-21.699,115.001,323.3,1.2,1.1,2017-08-15,1731,Aqua,MODIS,100,6.1,288.3,28.6
-21.695,115.003,319.2,3,1.6,2017-08-17,0202,Terra,MODIS,54,6.1,296.5,57.6
-21.705,115,327.2,1.4,1.2,2017-08-17,0624,Aqua,MODIS,59,6.1,306.1,24.4
-21.696,114.994,329.2,1.1,1,2017-08-18,0245,Terra,MODIS,0,6.1,302.8,21.5
-21.699,114.999,320.7,1.7,1.3,2017-08-20,1442,Terra,MODIS,100,6.1,290.1,41.8
-21.697,114.981,302.1,2.8,1.6,2017-08-22,1430,Terra,MODIS,47,6.1,289.1,25.8
-21.693,114.994,318.9,1,1,2017-08-22,1737,Aqua,MODIS,98,6.1,287.9,19.2
-21.695,115.004,316.2,1,1,2017-08-22,1737,Aqua,MODIS,93,6.1,289.2,16.5
-21.702,114.998,319.8,1.2,1.1,2017-08-23,1513,Terra,MODIS,99,6.1,293.4,21.9
-21.703,114.987,303,1.2,1.1,2017-08-23,1513,Terra,MODIS,53,6.1,291.6,6.8
-21.692,114.996,315.8,1.2,1.1,2017-08-23,1513,Terra,MODIS,92,6.1,292.2,17.4
-21.704,114.99,329.7,1.7,1.3,2017-08-23,0547,Aqua,MODIS,56,6.1,309.5,37.6
-21.701,114.996,327.6,2.3,1.5,2017-08-24,0208,Terra,MODIS,66,6.1,304.4,57.3
-21.7,114.971,302,4.7,2,2017-08-24,1418,Terra,MODIS,46,6.1,288,61.8
-21.707,114.987,333,1.8,1.3,2017-08-24,0630,Aqua,MODIS,73,6.1,312.2,42
-21.697,114.995,336.9,1.8,1.3,2017-08-24,0630,Aqua,MODIS,67,6.1,309.1,62.4
-21.696,115.002,309.8,1,1,2017-08-25,1501,Terra,MODIS,78,6.1,295.2,8.8
-21.697,114.993,338.7,1,1,2017-08-25,1501,Terra,MODIS,100,6.1,296.5,41.5
-21.699,114.98,328.8,2.8,1.6,2017-08-25,0535,Aqua,MODIS,34,6.1,309.6,68.1
-21.691,114.989,314.4,3.9,1.8,2017-08-26,0156,Terra,MODIS,0,6.1,299.6,33.3
-21.699,114.994,332,1.3,1.1,2017-08-27,1449,Terra,MODIS,100,6.1,293.2,47.8
-21.703,114.986,329.6,4.7,2,2017-08-27,0523,Aqua,MODIS,0,6.1,307.1,145.1
-21.694,114.995,313.6,1.3,1.1,2017-08-27,1756,Aqua,MODIS,88,6.1,276,21.2
-21.693,115.002,314.1,1.3,1.1,2017-08-27,1756,Aqua,MODIS,89,6.1,277.1,21.3
-21.699,115.003,313.2,2.3,1.5,2017-08-28,1531,Terra,MODIS,87,6.1,291.9,39.5
-21.702,114.998,309.6,2.3,1.5,2017-08-28,1531,Terra,MODIS,78,6.1,291.8,30.6
-21.698,114.99,335,1,1,2017-08-28,0606,Aqua,MODIS,78,6.1,310.6,24.2
-21.694,114.988,321.2,1.2,1.1,2017-08-29,0226,Terra,MODIS,44,6.1,305.5,11.6
-21.696,114.999,339.1,1.2,1.1,2017-08-29,0226,Terra,MODIS,75,6.1,305.3,41
-21.691,114.996,307.9,2.2,1.4,2017-08-29,1436,Terra,MODIS,73,6.1,283.9,29.5
-21.691,114.996,320.3,2.8,1.6,2017-08-30,0309,Terra,MODIS,39,6.1,305.3,25.1
-21.705,114.995,320.2,2.8,1.6,2017-08-30,0309,Terra,MODIS,20,6.1,306.9,29.5
-21.699,114.99,323.4,1.4,1.2,2017-08-30,1519,Terra,MODIS,100,6.1,291.6,36
-21.694,115.004,323.3,1.8,1.3,2017-08-31,0214,Terra,MODIS,0,6.1,304.3,28.1
-21.694,115,308.7,2.8,1.6,2017-09-01,1814,Aqua,MODIS,75,6.1,288,46.4
-21.7,114.987,315.8,3,1.6,2017-09-02,0202,Terra,MODIS,55,6.1,298.8,42.7
-21.697,115.001,324.7,1.4,1.2,2017-09-02,0624,Aqua,MODIS,46,6.1,308.4,18.5
-21.694,114.995,319.4,1.8,1.3,2017-09-02,1719,Aqua,MODIS,98,6.1,288.5,46.1
-21.7,115,335.2,1.1,1,2017-09-03,0245,Terra,MODIS,72,6.1,307.1,29.9
-21.699,115.001,312.7,1.1,1,2017-09-03,1455,Terra,MODIS,85,6.1,292.3,14.3
-21.694,114.989,301.9,1.6,1.3,2017-09-03,1802,Aqua,MODIS,45,6.1,288.1,12.8
-21.696,115.004,322.2,1.6,1.3,2017-09-03,1802,Aqua,MODIS,100,6.1,290.6,44.8
-21.704,115,302.5,3,1.6,2017-09-04,1537,Terra,MODIS,49,6.1,289.2,31.2
-21.702,114.988,329.1,1,1,2017-09-04,0612,Aqua,MODIS,64,6.1,312.7,16.2
-21.697,114.997,353.9,1,1,2017-09-05,0233,Terra,MODIS,84,6.1,307.8,63.6
-21.695,114.997,327.5,2.8,1.6,2017-09-07,1430,Terra,MODIS,100,6.1,289.9,117.1
-21.697,114.969,304.4,2.8,1.6,2017-09-07,1430,Terra,MODIS,60,6.1,289.1,27.8
-21.693,114.99,325.6,2.8,1.6,2017-09-07,1430,Terra,MODIS,100,6.1,289.7,109.3
-21.694,114.999,327.3,2.9,1.6,2017-09-07,0642,Aqua,MODIS,61,6.1,293.4,83.3
-21.708,114.995,334.6,2.9,1.6,2017-09-07,0642,Aqua,MODIS,65,6.1,296.1,131.1
-21.69,114.996,344,1,1,2017-09-07,1737,Aqua,MODIS,100,6.1,292.1,52.2
-21.699,114.994,305.3,1,1,2017-09-07,1737,Aqua,MODIS,64,6.1,291,7.3
-21.701,115.004,303,1,1,2017-09-07,1737,Aqua,MODIS,53,6.1,290.7,5.7
-21.701,114.988,335.9,2.1,1.4,2017-09-08,0303,Terra,MODIS,86,6.1,299.4,83.2
-21.702,115.003,345.9,2.1,1.4,2017-09-08,0303,Terra,MODIS,81,6.1,299.4,133.3
-21.696,114.998,338.3,1.2,1.1,2017-09-08,1513,Terra,MODIS,100,6.1,292.9,49.8
-21.693,114.988,333,2.3,1.5,2017-09-09,0208,Terra,MODIS,62,6.1,302.3,80
-21.703,115.002,340.3,1.8,1.3,2017-09-09,0630,Aqua,MODIS,81,6.1,307.2,71.4
-21.706,114.985,339.4,1.8,1.3,2017-09-09,0630,Aqua,MODIS,81,6.1,309.3,66.8
-21.695,115.003,333.7,1.4,1.2,2017-09-09,1725,Aqua,MODIS,100,6.1,293.7,57.4
-21.697,114.988,332.9,1.3,1.1,2017-09-10,0251,Terra,MODIS,78,6.1,310.5,29.5
-21.704,114.989,334.3,1.1,1.1,2017-09-11,0618,Aqua,MODIS,75,6.1,310.1,29
-21.693,114.988,315.6,2.3,1.5,2017-09-11,1713,Aqua,MODIS,92,6.1,290.3,47.8
