latitude,longitude
-20.545,118.986
-20.544,118.997
-20.536,118.984
-20.534,118.995
-20.678,119.708
-20.66,119.709
-20.678,119.701
-20.66,119.702
-20.681,119.744
-20.682,119.751
-20.562,118.932
-22.237,119.371
-22.774,120.088
-21.21,119.492
-21.85,119.659
-21.848,119.686
-21.862,119.688
-21.865,119.661
-21.814,119.68
-21.81,119.684
-21.928,119.748
-21.891,119.732
-21.891,119.725
-21.896,119.741
-21.545,120.337
-21.547,120.356
-21.553,120.371
-21.563,120.379
-21.561,120.36
-21.562,120.37
-21.135,120.703
-21.495,120.426
-21.488,120.458
-21.5,120.421
-21.494,120.453
-21.493,120.447
-21.484,120.474
-21.497,120.471
-21.499,120.44
-21.5,120.449
-20.885,118.875
-20.77,120.07
-20.772,120.06
-20.764,120.048
-20.774,120.05
-20.763,120.059
-20.778,120.048
-20.771,120.018
-20.768,120.011
-21.937,119.575
-21.938,119.586
-21.94,119.57
-21.933,119.557
-21.935,119.571
-21.914,119.575
-21.911,119.582
-21.908,119.568
-21.339,119.579
-23.901,118.841
-23.912,118.85
-23.9,118.799
-23.894,118.809
-23.894,118.83
-23.892,118.816
-23.907,118.821
-21.898,120.094
-21.908,120.096
-21.91,120.084
-21.418,120.347
-21.49,120.299
-21.468,120.327
-21.476,120.338
-21.466,120.337
-21.482,120.288
-21.477,120.328
-21.481,120.298
-21.472,120.296
-21.496,120.306
-21.487,120.32
-21.485,120.34
-21.505,120.307
-21.504,120.318
-21.515,120.309
-21.513,120.319
-21.493,120.32
-21.48,120.303
-21.509,120.354
-21.507,120.336
-21.519,120.334
-21.521,120.352
-21.536,120.362
-21.478,120.383
-21.497,120.386
-21.491,120.364
-21.489,120.374
-21.503,120.345
-21.488,120.385
-21.48,120.373
-21.474,120.286
-21.474,120.35
-21.482,120.362
-21.471,120.371
-21.465,120.285
-21.53,120.334
-21.486,120.391
-21.485,120.418
-21.535,120.329
-21.491,120.386
-21.488,120.421
-21.483,120.396
-21.536,120.351
-21.491,120.391
-21.552,120.361
-21.464,120.283
-21.213,118.816
-23.119,120.742
-21.18,119.529
-21.178,119.518
-21.158,119.511
-21.196,119.505
-21.197,119.516
-21.189,119.527
-21.193,119.49
-21.202,119.498
-20.895,118.866
-23.113,120.297
-21.76,118.555
-21.759,118.55
-21.758,118.54
-21.766,118.536
-21.764,118.53
-21.771,118.52
-21.768,118.503
-21.107,118.211
-21.152,118.193
-21.24,118.381
-21.251,118.375
-21.241,118.377
-21.239,118.364
-21.213,118.285
-21.222,118.287
-21.217,118.379
-21.195,118.358
-21.225,118.391
-21.223,118.378
-21.233,118.376
-21.235,118.389
-21.228,118.275
-21.233,118.388
-21.638,117.628
-21.734,117.465
-21.195,117.61
-21.188,117.642
-21.197,117.634
-21.648,117.66
-21.635,117.651
-21.637,117.641
-21.938,115.848
-21.758,117.46
-21.937,115.87
-21.927,115.871
-18.281,129.259
-18.284,129.237
-18.278,129.226
-18.901,126.476
-18.897,126.459
-18.714,127.467
-18.025,126.515
-17.998,126.521
-18.292,127.412
-19.22,127.988
-19.219,127.998
-19.082,127.004
-19.078,127.011
-19.792,126.051
-19.791,126.041
-19.79,126.031
-19.766,126.041
-18.893,126.466
-18.896,126.483
-18.636,125.869
-18.634,125.888
-19.676,127.688
-18.658,126.161
-19.335,129.871
-19.345,129.879
-19.929,129.737
-19.929,129.748
-19.923,129.754
-19.913,129.764
-19.899,129.774
-19.469,127.492
-18.803,125.799
-18.811,125.783
-18.722,125.045
-18.748,125.07
