latitude,longitude
-19.586,127.641
-16.183,124.977
-15.901,125.018
-15.885,124.925
-15.91,125.019
-15.881,124.954
-15.891,124.956
-15.944,124.913
-15.898,125.048
-15.884,125.049
-15.87,125.051
-15.909,125.029
-15.908,125.039
-15.906,125.048
-15.891,125.026
-15.869,125.043
-15.865,125.073
-15.912,125.079
-15.89,124.974
-15.878,125.124
-16.376,124.891
-15.671,125.45
-15.678,125.505
-15.681,125.486
-15.667,125.455
-16.084,125.227
-16.083,125.236
-15.624,126.089
-15.623,126.098
-14.554,127.642
-14.519,127.876
-14.51,127.875
-14.508,127.885
-14.508,127.882
-14.608,127.826
-14.607,127.836
-14.408,127.742
-14.3,126.53
-14.297,126.523
-14.305,126.509
-14.314,126.511
-14.303,126.519
-14.312,126.52
-14.311,126.529
-14.32,126.531
-14.293,126.526
-14.294,126.517
-14.335,126.552
-14.337,126.543
-14.338,126.533
-14.328,126.541
-14.329,126.532
-14.33,126.523
-14.555,127.632
-14.904,127.303
-14.85,127.174
-14.834,127.176
-14.846,127.14
-14.893,127.27
-14.843,127.102
-14.85,127.122
-14.859,127.123
-14.851,127.112
-14.602,126.409
-14.604,126.404
-14.611,126.424
-14.828,127.08
-14.827,127.089
-14.846,127.083
-14.829,127.071
-14.808,127.1
-14.799,127.098
-14.801,127.08
-14.782,127.05
-14.281,126.5
-14.278,126.493
-14.316,126.492
-14.315,126.501
-14.306,126.5
-14.289,126.488
-14.309,126.482
-14.307,126.491
-14.288,126.497
-14.298,126.489
-14.296,126.508
-14.297,126.499
-14.287,126.506
-14.3,126.48
-14.282,126.477
-14.28,126.487
-14.279,126.496
-14.278,126.505
-14.271,126.485
-14.27,126.494
-14.803,127.116
-14.811,127.139
-14.805,127.119
-14.12,127.101
-14.123,127.122
-14.261,126.595
-14.276,126.594
-14.257,126.589
-14.272,126.587
-14.266,126.588
-14.282,126.6
-14.196,126.618
-14.251,126.6
-14.265,126.603
-14.908,127.733
-14.862,127.726
-14.285,126.532
-14.281,126.525
-14.285,126.516
-14.276,126.514
-14.249,126.57
-14.248,126.579
-14.241,126.571
-14.265,126.52
-14.256,126.574
-14.24,126.565
-17.168,122.89
-17.064,122.579
-17.06,122.546
-17.18,122.871
-17.487,122.41
-17.489,122.399
-17.483,122.413
-17.061,122.857
-17.06,122.834
-17.278,122.746
-17.267,122.747
-17.269,122.765
-17.276,122.74
-17.274,122.754
-17.279,122.713
-17.53,122.372
-17.538,122.365
-17.528,122.383
-17.216,122.431
-17.214,122.415
-17.213,122.417
-17.204,122.401
-17.158,122.34
-17.163,122.345
-17.15,122.347
-17.165,122.331
-17.249,122.803
-17.246,122.804
-17.046,122.432
-17.048,122.448
-17.055,122.414
-17.063,122.428
-17.053,122.412
-17.264,122.73
-17.276,122.729
-17.274,122.712
-17.538,122.361
-17.469,122.273
-17.467,122.288
-17.46,122.257
-17.468,122.315
-17.057,122.431
-17.052,122.426
-16.993,122.646
-16.991,122.629
-16.992,122.643
-17.049,122.623
-17.062,122.563
-17.07,122.542
-17.072,122.528
-17.06,122.541
-17.303,122.202
-17.297,122.193
-17.308,122.194
-17.43,122.222
-17.432,122.208
-17.056,122.614
-17.101,122.592
-17.062,122.611
-16.997,122.602
-16.999,122.588
-17.054,122.598
-17.064,122.597
-17.025,122.814
-17.46,122.282
-17.479,122.383
-17.199,122.483
-16.946,122.63
-17.201,122.4
-17.211,122.481
-17.203,122.416
-17.205,122.488
-17.212,122.431
-17.206,122.474
-17.215,122.402
-17.259,122.784
-17.261,122.801
-17.258,122.793
-17.26,122.779
-17.241,122.812
-17.071,122.347
-17.073,122.363
-17.081,122.356
-17.082,122.358
-17.084,122.344
-17.075,122.328
-17.073,122.342
-17.594,122.244
-17.599,122.242
-17.704,122.234
-15.677,125.515
-15.677,125.469
-15.674,125.475
-15.703,125.525
-15.674,125.466
-15.68,125.495
-15.682,125.477
-15.673,125.481
-21.715,122.297
-21.713,122.303
-21.718,122.267
-21.716,122.285
-21.728,122.286
-17.431,123.776
-17.468,123.805
-17.467,123.817
-17.494,123.838
-16.309,124.798
-16.319,124.787
-16.317,124.797
-16.329,124.817
-16.37,124.91
-16.251,124.835
-16.254,124.858
-16.246,124.828
-16.252,124.86
-16.243,124.812
-16.242,124.822
-16.24,124.832
-16.248,124.818
-16.237,124.79
-16.238,124.78
-16.024,124.86
-16.284,124.688
-16.307,124.687
-16.303,124.674
-16.3,124.692
-16.31,124.67
-16.244,124.693
-15.892,125.016
-15.855,124.962
-15.945,124.903
-16.251,124.717
-16.302,124.728
-16.26,124.733
-16.258,124.71
-16.315,124.726
-16.318,124.725
-16.315,124.745
-16.316,124.735
-16.308,124.723
-16.307,124.734
-16.305,124.744
-16.319,124.714
-16.31,124.713
-16.254,124.73
-16.257,124.71
-16.256,124.72
-16.29,124.744
-16.286,124.737
-16.371,124.787
-16.359,124.82
-16.366,124.769
-16.36,124.81
-15.943,124.923
-16.254,124.741
-15.511,124.525
-15.52,124.523
-15.51,124.522
-15.509,124.532
-16.243,124.829
-16.24,124.806
-16.238,124.783
-16.235,124.8
-16.183,124.99
-16.023,124.87
-16.026,124.85
-15.035,126.293
-15.085,126.287
-15.033,126.303
-15.081,126.257
-15.084,126.262
-15.096,126.246
-15.095,126.255
-16.651,122.833
-16.649,122.816
-16.647,122.799
-16.652,122.793
-16.659,122.798
-16.647,122.832
-16.656,122.781
-16.664,122.778
-16.653,122.85
-16.66,122.861
-16.401,122.992
-16.714,122.907
-16.712,122.89
-16.719,122.897
-16.824,122.662
-16.812,122.663
-16.821,122.673
-16.807,122.672
-16.809,122.66
-16.799,122.658
-13.509,132.229
-13.513,132.21
-13.417,130.705
-13.438,130.656
-13.268,130.919
-13.379,131.078
-13.536,130.541
-13.199,131.06
-17.538,126.656
-16.602,125.8
-16.776,125.935
-17.505,126.539
-17.508,126.573
-17.533,126.563
-17.501,126.568
-17.517,126.564
-17.519,126.529
-17.527,126.539
-17.526,126.549
-17.536,126.541
-17.518,126.538
-17.528,126.53
-17.521,126.519
-17.509,126.537
-17.51,126.527
-17.545,126.542
-17.512,126.518
-16.593,125.662
-16.767,125.934
-11.405,130.628
-11.589,130.906
-11.374,131.397
-11.365,130.304
-11.354,130.302
-11.631,130.292
-11.493,131.411
-11.49,131.429
-11.363,130.319
-11.741,130.184
-11.547,130.522
-11.347,131.411
-11.307,131.397
-11.666,130.58
-11.519,130.496
-13.688,130.667
-12.313,131.13
-13.446,130.666
-13.449,130.658
-12.812,130.67
-12.803,130.663
-12.859,130.808
-12.888,130.706
-12.872,130.804
-12.873,130.795
-12.884,130.797
-13.056,130.588
-12.997,130.807
-13.211,131.052
-12.41,131.02
-13.024,130.858
-13.034,130.867
-13.172,130.733
-12.783,131.209
-12.771,131.207
-15.295,127.606
-15.114,127.493
-15.129,127.359
-14.826,127.182
-14.806,127.15
-14.814,127.144
-14.844,127.159
-14.806,127.109
-15.11,127.61
-15.103,127.599
-15.108,127.501
-15.393,127.497
-15.392,127.506
-15.101,127.637
-15.109,127.619
-14.845,127.092
-14.836,127.091
-14.815,127.053
-14.824,127.054
-14.861,127.735
-15.009,127.606
-15.01,127.597
-15.054,127.245
-15.065,127.273
-15.067,127.274
-15.058,127.206
-16.679,127.445
-16.682,127.438
-16.691,127.431
-16.686,127.402
-16.689,127.441
-16.688,127.45
-16.671,127.564
-12.734,134.66
-12.737,134.637
-12.689,134.584
-12.798,134.648
-12.969,134.632
-12.987,134.687
-13.124,134.614
-13.104,134.64
-13.098,134.669
-13.091,134.63
-13.101,134.663
-13.106,134.633
-13.231,134.609
-13.201,134.604
-13.205,134.599
-13.747,134.564
-13.039,134.676
-13.035,134.681
-13.024,134.673
-13.205,134.689
-12.658,134.671
-13.103,134.731
-13.105,134.725
-13.039,134.743
-14.916,133.768
-14.98,134.525
-15.543,132.038
-13.791,130.811
-11.432,132.554
-12.536,132.086
-11.392,132.409
-12.63,131.914
-11.697,133.07
-11.456,132.102
-12.533,131.771
-12.53,131.789
-12.536,131.779
-12.521,131.769
-11.602,130.257
-11.456,130.455
-11.525,130.528
-11.516,130.511
-11.785,130.197
-11.773,130.195
-12.564,130.717
-12.562,130.733
-11.453,130.47
-11.452,130.478
-11.454,130.463
-11.704,130.981
-11.359,131.413
-11.372,130.326
-11.376,130.306
-11.374,130.312
-11.374,130.321
-11.352,130.317
-12.806,130.648
-12.815,130.655
-12.804,130.653
-11.723,130.643
-11.707,130.965
-12.484,130.99
-12.481,131.006
-12.398,131.018
-12.396,131.034
-11.473,130.488
-12.304,131.112
-11.377,131.403
-11.453,131.397
-11.496,131.393
-11.489,131.403
-11.475,131.445
-11.484,131.439
-11.528,130.513
-11.64,130.308
-11.628,130.306
-11.615,130.244
-11.447,131.507
-11.468,131.455
-11.472,131.463
-11.434,131.521
-11.393,130.626
-11.434,130.655
-19.585,127.634
-14.421,129.532
-14.517,127.886
-14.499,127.883
-14.517,127.889
-14.837,127.081
-14.838,127.072
-14.831,127.061
-14.822,127.064
-14.914,127.309
-15.058,127.281
-15.066,127.284
-14.121,127.132
-14.914,127.74
-14.987,127.692
-15.119,127.381
-15.121,127.338
-15.125,127.373
-15.13,127.349
-15.131,127.407
-15.107,127.443
-15.132,127.398
-14.29,129.516
-14.116,127.102
-15.051,127.21
-15.061,127.237
-15.065,127.226
-15.247,129.089
-15.248,129.078
-15.009,127.616
-15.114,127.643
-15.091,127.676
-15.101,127.608
-15.012,127.587
-14.81,127.11
-14.81,127.148
-14.797,127.108
-14.822,127.148
-14.819,127.114
-14.856,127.142
-14.835,127.158
-14.857,127.133
-14.813,127.062
-14.8,127.089
-14.803,127.07
-23.78,133.948
-17.529,126.655
-17.54,126.659
-17.533,126.652
-15.392,127.513
-15.375,127.514
-15.387,127.519
-15.392,127.565
-15.39,127.516
-15.403,127.613
-15.395,127.487
-15.385,127.486
-16.673,127.564
-16.647,127.541
-16.603,127.47
-16.675,127.406
-16.694,127.413
-16.695,127.403
-12.774,131.191
-12.874,130.789
-12.861,130.802
-12.858,130.817
-12.854,130.77
-12.889,130.699
-12.876,130.78
-12.92,130.866
-12.922,130.851
-14.606,129.842
-14.595,129.841
-14.608,129.83
-14.639,129.835
-14.446,129.69
-14.431,129.534
-14.419,129.544
-14.533,129.724
-14.025,129.951
-14.28,129.839
-14.429,129.546
-14.449,133.029
-14.26,130.276
-14.308,131.641
-14.451,133.094
-14.019,131.17
-14.482,132.619
-13.874,130.802
-13.802,130.819
-13.856,130.769
-13.8,130.834
-13.791,130.817
-13.993,132.863
-13.828,130.296
-13.83,130.282
-13.928,129.805
-14.279,130.293
-13.867,130.771
-13.858,130.754
-13.976,129.885
-14.458,130.391
-14.291,129.84
-14.665,129.865
-14.619,129.96
-14.528,131.025
-12.523,132.083
-12.583,131.958
-12.586,131.944
-11.411,131.501
-11.42,131.521
-13.488,132.205
-11.65,133.013
-11.701,133.046
-11.656,133.032
-11.646,133.007
-11.272,132.251
-12.583,131.963
-12.57,131.803
-12.527,131.759
-12.524,131.776
-12.802,132.745
-12.794,132.738
-13.355,131.979
-11.808,133.219
-14.197,133.905
-14.307,131.679
-14.305,131.658
-14.008,132.852
-13.678,131.853
-13.681,131.835
-14.662,133.242
-14.483,132.613
-15.509,132.014
-15.52,132.045
-15.533,132.048
-15.513,132.007
-14.446,133.05
-14.633,133.326
-14.997,133.819
-14.624,133.317
-14.696,132.981
-14.705,133.004
-14.332,144.219
-14.996,143.946
-14.934,143.961
-14.918,143.919
-14.998,144.027
-14.982,144.057
-15.048,144.182
-15.037,144.102
-14.597,144.194
-14.534,144.179
-14.804,143.967
-14.633,144.054
-14.523,144.157
-15.529,144.024
-13.034,142.376
-13.033,142.381
-14.901,141.714
-13.302,142.102
-13.26,142.071
-13.322,142.055
-13.313,142.056
-13.305,142.064
-13.31,142.158
-13.327,142.149
-13.323,142.064
-13.352,142.069
-13.351,142.06
-13.358,142.032
-12.428,142.127
-12.429,142.12
