latitude,longitude
-20.639,117.892
-20.65,117.894
-20.629,117.89
-20.648,117.898
-21.272,115.992
-21.288,115.991
-20.66,117.939
-20.663,117.944
-20.666,117.969
-20.664,117.939
-20.652,117.917
-18.912,125.426
-18.895,125.44
-15.701,125.267
-15.06,125.494
-15.5,125.296
-17.429,125.172
-17.43,125.183
-16.621,124.999
-15.501,125.307
-15.502,125.301
-16.769,124.962
-16.747,124.895
-17.413,125.215
-15.17,125.507
-15.181,125.509
-14.61,125.69
-14.596,125.686
-14.62,125.689
-14.628,125.676
-14.618,125.678
-14.296,126.1
-14.275,126.093
-14.337,126.087
-14.264,126.072
-14.266,126.073
-14.028,126.152
-14.255,126.487
-14.257,126.497
-14.247,126.498
-14.24,126.504
-14.239,126.496
-14.318,126.58
-14.293,126.543
-14.294,126.553
-14.363,126.525
-14.361,126.515
-14.265,126.241
-14.264,126.231
-14.256,126.243
-14.254,126.232
-14.268,126.234
-14.152,126.169
-14.09,126.39
-14.229,126.496
-14.403,126.066
-14.368,126.093
-14.399,126.045
-14.432,126.044
-14.409,126.043
-14.429,126.05
-14.441,126.036
-14.364,126.473
-14.358,126.495
-14.723,126.508
-14.231,126.15
-14.23,126.139
-14.722,126.498
-14.713,126.499
-14.232,126.522
-14.208,126.531
-14.257,126.559
-14.249,126.509
-14.26,126.517
-33.678,115.871
-33.259,117.222
-33.261,117.212
-32.204,118.596
-32.193,118.605
-32.195,118.594
-33.944,117.32
-33.305,117.66
-33.264,117.634
-34.32,116.556
-34.297,116.585
-34.298,116.574
-33.272,117.136
-33.27,117.147
-33.321,117.865
-34.481,115.898
-34.479,115.909
-34.491,115.888
-34.49,115.9
-34.396,115.853
-34.652,116.738
-34.317,118.05
-34.581,116.258
-34.583,116.247
-34.938,117.386
-34.968,117.178
-34.937,117.397
-34.954,116.818
-34.952,116.829
-34.587,116.809
-34.589,116.798
-34.589,116.202
-34.587,116.213
-34.235,115.89
-16.993,123.206
-17.001,123.186
-18.648,121.914
-18.662,121.917
-18.659,121.911
-18.598,121.933
-18.598,121.926
-18.314,123.165
-18.329,123.119
-18.321,123.11
-18.314,123.145
-18.652,121.952
-24.833,124.894
-24.795,124.996
-24.787,125.002
-24.731,124.979
-24.731,124.905
-24.74,124.902
-24.825,124.855
-24.793,124.847
-24.738,124.87
-24.748,124.867
-24.732,124.863
-24.583,124.73
-15.381,126.611
-15.399,126.579
-15.397,126.591
-30.867,121.49
-31.298,115.625
-30.862,116.187
-30.196,116.656
-31.886,116.994
-31.737,116.875
-31.736,116.886
-30.366,116.054
-28.632,114.648
-32.263,117.975
-28.79,115.236
-31.814,117.473
-31.185,116.814
-30.364,116.064
-31.299,115.614
-31.335,116.471
-31.813,117.484
-29.045,115.125
-29.036,115.124
-30.865,118.127
-24.901,124.631
-24.841,124.904
-24.582,124.72
-24.745,124.431
-24.839,124.196
-24.837,124.185
-24.884,124.296
-24.691,124.932
-24.724,124.898
-24.913,124.591
-24.818,124.861
-24.808,124.778
-24.529,124.947
-24.741,124.437
-24.908,124.598
-16.674,124.758
-16.62,124.743
-16.682,124.744
-16.652,124.767
-16.478,124.283
-16.636,125.032
-18.02,124.439
-16.823,124.988
-16.825,125
-17.059,124.056
-17.051,124.05
-26.607,125.913
-26.601,125.903
-15.149,125.598
-15.147,125.587
-14.866,125.687
-14.868,125.697
-14.736,126.492
-15.237,126.28
-15.246,126.278
-16.51,123.698
-13.072,131.096
-13.078,131.085
-13.451,131.251
-13.368,133.073
-30.205,116.657
-30.071,115.203
-30.866,121.497
-15.983,125.813
-16.101,125.916
-16.103,125.927
-16.144,125.85
-16.142,125.867
-16.141,125.856
-16.146,125.86
-16.515,126.201
-16.517,126.211
-33.32,119.697
-33.318,119.709
-33.328,119.712
-33.724,118.064
-33.003,116.77
-33.875,117.166
-33.262,117.645
-33.925,117.642
-32.501,117.251
-32.492,117.249
-32.545,117.997
-32.543,118.008
-32.661,116.72
-33.33,119.699
-33.935,117.318
-33.255,118.054
-33.323,117.854
-33.68,115.86
-33.389,118.382
-18.662,121.883
-18.651,121.931
-18.655,121.95
-18.657,121.945
-18.66,121.922
-13.205,130.797
-15.985,128.611
-15.999,128.593
-15.98,128.625
-15.508,128.765
-15.705,128.169
-15.404,128.537
-15.721,128.189
-16.09,128.449
-16.092,128.458
-16.884,133.742
-16.882,133.724
-16.677,133.785
-16.675,133.767
-16.682,133.779
-16.685,133.771
-16.673,133.84
-13.847,129.972
-13.852,130.365
-12.805,131.535
-15.145,127.784
-15.146,127.794
-15.149,127.792
-17.206,127.403
-17.067,127.517
-17.159,127.458
-17.158,127.449
-15.722,128.198
-15.718,128.173
-16.642,128.101
-17.229,127.374
-17.213,127.401
-15.428,128.828
-15.995,128.6
-15.995,128.624
-15.976,128.619
-15.402,128.528
-16.008,128.449
-16.104,128.476
-16.102,128.466
-16.101,128.457
-16.009,128.458
-15.071,129.676
-15.069,129.667
-15.061,129.678
-15.06,129.668
-15.077,129.669
-15.078,129.679
-15.076,129.665
-15.094,129.712
-15.104,129.711
-15.105,129.72
-15.106,129.73
-15.114,129.728
-14.915,129.77
-14.923,129.781
-14.906,129.771
-14.928,129.81
-14.923,129.812
-15.112,129.839
-15.114,129.848
-15.135,129.865
-15.133,129.856
-15.116,129.798
-15.115,129.788
-14.925,129.749
-14.923,129.735
-14.92,129.758
-14.934,129.76
-14.909,129.754
-14.901,129.743
-14.893,129.732
-14.907,129.763
-14.895,129.723
-14.896,129.714
-14.903,129.742
-14.892,129.744
-15.12,129.881
-14.012,130.659
-14.13,131.236
-14.128,131.246
-14.013,130.524
-14.018,130.5
-14.007,130.478
-14.267,130.59
-14.172,130.724
-14.426,132.67
-13.657,130.809
-13.757,131.859
-13.755,131.848
-13.846,129.981
-13.844,129.971
-14.204,130.351
-14.202,130.372
-14.02,130.48
-14.561,130.879
-14.559,130.869
-14.551,130.824
-14.62,131.215
-14.264,130.589
-14.962,129.813
-14.012,130.514
-14.209,131.254
-14.47,130.646
-12.804,131.524
-13.469,133.067
-12.921,131.667
-14.552,132.664
-14.424,132.684
-14.539,130.796
-14.549,132.67
-14.987,132.101
-14.607,131.214
-14.593,131.216
-14.451,132.256
-12.919,131.678
-13.074,131.079
-14.748,133.32
-13.981,132.95
-14.298,132.933
-16.87,133.725
-16.88,133.748
-16.878,133.73
-16.635,133.737
-16.623,133.738
-16.602,133.712
-16.621,133.721
-16.608,133.722
-16.601,133.714
-14.541,132.4
-14.511,132.717
-14.831,133.35
-25.844,152.528
-24.385,150.492
-31.51,150.241
-31.499,150.245
-31.504,150.269
-31.455,150.069
-31.457,150.075
-33.645,149.055
-33.654,149.058
-35.074,149.361
-35.075,149.373
-35.08,149.353
