Year,Month,Hotspots,Temperature,Precipitation,ChangeTemperature,ChangePrecipitation,,Month,Mean Temperature,Mean Percipation
2001,1,21531,29.0295,63.7016,4.89%,-16.74%,,1,27.675973,76.507366
2001,2,1899,27.476,112.258,1.41%,48.69%,,2,27.095246,75.499534
2001,3,2932,24.5815,79.3673,-2.66%,38.11%,,3,25.253021,57.468079
2001,4,10811,21.971,16.0318,1.51%,-45.13%,,4,21.645114,29.216338
2001,5,18453,17.4261,15.4872,-1.60%,-42.76%,,5,17.71001,27.0577818
2001,6,4658,15.585,24.93,5.92%,-2.87%,,6,14.713947,25.6675335
2001,7,9082,14.3675,23.1264,3.68%,1.54%,,7,13.857242,22.7753093
2001,8,29492,15.7516,13.913,0.94%,-25.80%,,8,15.605084,18.7498324
2001,9,38716,19.7582,17.3694,4.87%,0.82%,,9,18.840546,17.2277355
2001,10,28460,21.1909,37.6774,-4.81%,56.48%,,10,22.262547,24.0786816
2001,11,31275,24.4735,46.36,-2.37%,44.35%,,11,25.068606,32.115434
2001,12,24384,26.0967,51.0908,-2.86%,-2.71%,,12,26.865997,52.512227
2002,1,11528,27.6223,60.087,-0.19%,-21.46%,,,,
2002,2,3461,26.3276,105.206,-2.83%,39.35%,,,,
2002,3,3072,25.648,21.7549,1.56%,-62.14%,,,,
2002,4,9280,23.5724,13.0428,8.90%,-55.36%,,,,
2002,5,11784,19.1452,11.3781,8.10%,-57.95%,,,,
2002,6,8157,15.2271,16.1196,3.49%,-37.20%,,,,
2002,7,21677,14.4791,8.2371,4.49%,-63.83%,,,,
2002,8,28059,15.9424,12.6798,2.16%,-32.37%,,,,
2002,9,36284,19.8917,11.085,5.58%,-35.66%,,,,
2002,10,81981,23.3329,6.85245,4.81%,-71.54%,,,,
2002,11,65734,26.5885,24.8415,6.06%,-22.65%,,,,
2002,12,36297,27.7587,35.4367,3.32%,-32.52%,,,,
2003,1,33528,28.5896,67.4694,3.30%,-11.81%,,,,
2003,2,9305,28.0535,117.643,3.54%,55.82%,,,,
2003,3,4666,24.9951,38.8759,-1.02%,-32.35%,,,,
2003,4,8679,22.6592,27.6298,4.69%,-5.43%,,,,
2003,5,17837,18.8473,15.9358,6.42%,-41.10%,,,,
2003,6,12127,15.6438,20.8619,6.32%,-18.72%,,,,
2003,7,10450,14.8848,15.5813,7.42%,-31.59%,,,,
2003,8,9922,16.1982,29.0122,3.80%,54.73%,,,,
2003,9,22747,20.0326,13.6276,6.33%,-20.90%,,,,
2003,10,33463,21.926,20.6634,-1.51%,-14.18%,,,,
2003,11,29678,25.8132,29.5972,2.97%,-7.84%,,,,
2003,12,8484,27.9301,64.9195,3.96%,23.63%,,,,
2004,1,5037,28.2604,92.9686,,,,,,
2004,2,1926,28.041,106.405,,,,,,
2004,3,5210,25.5965,58.5586,,,,,,
2004,4,14801,22.8239,23.5666,,,,,,
2004,5,15203,17.7738,33.5211,,,,,,
2004,6,15291,15.5725,20.1281,,,,,,
2004,7,16730,14.3299,17.3305,,,,,,
2004,8,20654,15.6069,16.911,,,,,,
2004,9,43446,18.7627,14.6568,,,,,,
2004,10,83504,24.1704,16.4698,,,,,,
2004,11,52205,25.4206,31.7589,,,,,,
2004,12,23317,27.4068,54.7673,,,,,,
2005,1,7889,28.2958,62.3615,,,,,,
2005,2,7684,27.7587,34.5384,,,,,,
2005,3,6709,26.4619,32.3065,,,,,,
2005,4,16177,24.3568,9.42306,,,,,,
2005,5,22677,19.1301,18.6174,,,,,,
2005,6,12445,15.8177,41.2353,,,,,,
2005,7,13193,15.0296,21.51,,,,,,
2005,8,14927,16.0535,20.8935,,,,,,
2005,9,17624,19.9697,21.3719,,,,,,
2005,10,25170,23.5146,37.3574,,,,,,
2005,11,19450,25.8671,37.723,,,,,,
2005,12,16157,27.8167,52.9454,,,,,,
2006,1,5913,28.972,123.351,,,,,,
2006,2,3128,27.6461,51.5525,,,,,,
2006,3,3735,26.0453,89.0665,,,,,,
2006,4,12166,21.1194,58.4034,,,,,,
2006,5,16544,16.9052,10.1418,,,,,,
2006,6,13455,13.8069,14.8183,,,,,,
2006,7,12054,13.9996,26.006,,,,,,
2006,8,31727,16.6777,7.60415,,,,,,
2006,9,41518,20.1605,13.2967,,,,,,
2006,10,36197,23.8873,7.7072,,,,,,
2006,11,78356,26.648,18.2988,,,,,,
2006,12,34505,27.0462,39.6613,,,,,,
2007,1,8574,27.8036,107.696,,,,,,
2007,2,7454,28.6834,47.4567,,,,,,
2007,3,3440,25.9193,81.1344,,,,,,
2007,4,8749,22.7155,17.5229,,,,,,
2007,5,12094,19.5421,22.4563,,,,,,
2007,6,10783,13.4035,29.8826,,,,,,
2007,7,16090,14.281,13.082,,,,,,
2007,8,24531,16.6781,13.6378,,,,,,
2007,9,53820,20.1141,8.51353,,,,,,
2007,10,46809,23.7394,18.3536,,,,,,
2007,11,33650,25.7392,35.7837,,,,,,
2007,12,15710,26.9396,71.2629,,,,,,
2008,1,8468,28.9641,68.6134,,,,,,
2008,2,1424,26.6182,112.027,,,,,,
2008,3,2878,25.7828,32.6547,,,,,,
2008,4,15637,21.3636,12.8633,,,,,,
2008,5,21274,18.1799,8.44754,,,,,,
2008,6,9089,15.7838,22.9591,,,,,,
2008,7,12181,14.2569,23.6117,,,,,,
2008,8,19435,14.797,13.0672,,,,,,
2008,9,17063,20.2138,20.5054,,,,,,
2008,10,34299,23.9987,14.7834,,,,,,
2008,11,24246,24.9864,58.7764,,,,,,
2008,12,7926,27.0258,71.4832,,,,,,
2009,1,3134,28.2459,133.659,,,,,,
2009,2,4412,27.5856,92.8045,,,,,,
2009,3,4444,25.7929,25.0386,,,,,,
2009,4,15333,22.3415,24.3906,,,,,,
2009,5,20050,17.7504,17.1227,,,,,,
2009,6,10417,15.4784,24.9955,,,,,,
2009,7,12776,14.722,15.2691,,,,,,
2009,8,17270,17.7415,11.2422,,,,,,
2009,9,23442,20.0771,15.8808,,,,,,
2009,10,51593,22.7646,13.8715,,,,,,
2009,11,46486,26.7958,28.7976,,,,,,
2009,12,28107,27.7926,63.0123,,,,,,
2010,1,7382,28.4772,103.119,,,,,,
2010,2,4833,27.8996,102.551,,,,,,
2010,3,5178,25.614,58.0765,,,,,,
2010,4,10124,23.1362,39.6915,,,,,,
2010,5,12215,18.089,31.3036,,,,,,
2010,6,13485,15.0195,13.7127,,,,,,
2010,7,10438,14.6815,27.0671,,,,,,
2010,8,15375,15.553,28.8687,,,,,,
2010,9,9150,18.8901,41.3411,,,,,,
2010,10,10804,21.9421,48.8311,,,,,,
2010,11,12243,24.5987,59.5348,,,,,,
