Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
17/11/08,743,0,1,133,510,0,0,2,97,0
16/11/08,1055,0,0,256,655,0,10,0,134,0
15/11/08,1454,0,1,59,1246,1,5,0,142,0
14/11/08,1518,0,15,215,1092,0,2,4,190,0
13/11/08,1545,0,1,72,1231,0,0,0,241,0
12/11/08,1383,0,10,272,625,0,0,2,474,0
11/11/08,1300,0,6,368,575,3,0,3,345,0
10/11/08,1023,0,37,258,487,1,2,2,236,0
19/11/08,322,0,0,89,142,0,0,0,91,0
18/11/08,520,0,0,108,316,0,2,0,94,0
27/5/04,243,0,35,67,22,6,3,3,107,0
26/5/04,89,0,14,8,11,4,0,8,44,0
25/5/04,297,0,0,169,19,21,0,12,76,0
24/5/04,100,0,12,18,28,18,1,4,19,0
23/5/04,108,0,7,46,21,2,2,1,29,0
22/5/04,554,0,243,85,18,19,0,166,23,0
30/8/01,2077,0,46,1289,240,0,0,2,500,0
31/8/01,1557,0,10,833,383,0,0,0,331,0
29/5/04,399,0,192,6,26,4,5,61,105,0
28/5/04,117,0,31,1,33,2,1,0,49,0
14/12/15,338,0,33,35,69,6,1,1,193,0
15/12/15,276,0,0,65,59,3,0,3,146,0
16/12/15,208,0,3,21,40,0,0,5,139,0
17/12/15,229,2,15,13,44,3,2,0,150,0
10/12/15,258,0,7,23,166,22,0,2,38,0
11/12/15,302,5,5,94,142,2,0,0,54,0
12/12/15,142,0,9,23,51,8,0,0,51,0
13/12/15,209,0,16,43,53,4,1,0,92,0
18/12/15,211,1,22,5,39,4,0,1,139,0
19/12/15,327,0,35,4,105,12,0,0,171,0
30/12/06,288,0,1,29,117,9,2,55,75,0
31/12/06,234,0,0,15,80,68,0,13,58,0
31/3/14,363,0,136,25,7,1,7,77,110,0
30/3/14,184,0,15,4,4,13,0,21,127,0
31/5/05,1001,0,102,280,166,8,6,0,439,0
30/5/05,1564,0,111,799,78,48,3,27,498,0
27/2/12,97,0,0,12,0,2,0,0,83,0
13/2/09,170,0,0,0,1,2,2,156,9,0
30/7/04,387,0,21,243,42,1,3,1,76,0
31/7/04,314,0,26,161,43,1,0,0,83,0
25/2/12,249,0,5,43,2,11,19,22,147,0
24/2/12,238,1,70,16,1,13,0,3,134,0
21/5/04,585,0,317,9,32,104,0,64,59,0
16/2/09,130,0,0,0,6,0,0,111,13,0
20/5/04,498,0,249,3,32,57,2,4,151,0
17/2/09,82,0,1,0,5,1,0,73,2,0
14/2/09,118,0,0,1,3,0,0,87,27,0
15/2/09,157,0,0,0,8,0,0,126,23,0
31/10/09,983,0,3,172,540,0,4,2,262,0
30/10/09,1395,0,3,343,243,6,1,0,799,0
30/6/11,668,0,23,558,16,6,2,2,61,0
28/11/17,3166,0,5,103,100,18,0,9,2931,0
29/11/17,2212,0,8,185,200,0,0,3,1816,0
26/11/17,890,0,8,19,157,2,0,0,704,0
27/11/17,1442,0,4,23,136,6,6,6,1261,0
24/11/17,486,0,11,35,87,1,1,0,351,0
25/11/17,609,0,23,60,57,8,0,0,461,0
22/11/17,439,0,3,99,42,0,0,2,293,0
23/11/17,478,0,12,94,37,3,3,6,323,0
20/11/17,783,0,3,136,263,4,0,0,377,0
21/11/17,667,0,9,150,65,5,2,1,435,0
24/6/15,324,0,1,107,54,0,0,0,162,0
29/3/01,238,0,28,72,7,16,16,11,88,0
30/3/04,210,7,83,3,24,3,8,0,82,0
31/3/04,264,3,72,1,54,2,0,4,128,0
28/6/15,398,0,6,281,57,2,0,0,52,0
25/3/01,55,0,2,6,24,0,0,1,22,0
12/5/08,613,2,73,93,61,24,12,17,331,0
13/5/08,1052,0,81,302,44,92,24,103,406,0
10/5/08,492,0,49,86,59,3,3,1,291,0
11/5/08,869,0,4,330,18,8,2,2,505,0
16/5/08,743,0,17,341,60,1,2,3,319,0
17/5/08,446,0,5,231,44,0,0,0,166,0
14/5/08,714,0,75,66,64,67,13,90,339,0
15/5/08,740,0,118,253,38,2,53,53,223,0
18/5/08,808,0,18,454,25,0,2,0,309,0
19/5/08,458,0,44,155,76,4,1,0,178,0
18/11/09,2036,0,48,254,1529,0,0,0,205,0
19/11/09,1873,0,56,587,1041,2,14,1,172,0
29/11/12,1468,0,11,81,1161,44,9,0,162,0
28/11/12,1763,0,77,97,1248,60,2,2,277,0
12/11/09,1646,0,18,884,494,6,0,0,244,0
26/11/12,1724,0,8,139,1344,36,0,0,197,0
25/11/12,1614,0,4,466,704,22,12,0,406,0
24/11/12,2119,0,6,222,1435,83,1,0,372,0
23/11/12,2152,0,10,141,793,136,11,11,1050,0
22/11/12,1981,0,55,311,802,56,1,3,753,0
14/11/09,2177,0,7,1220,633,3,6,1,306,1
20/11/12,3569,0,20,414,1444,192,3,0,1496,0
30/7/02,205,0,21,81,41,1,0,2,59,0
31/7/02,252,0,7,198,28,0,0,0,19,0
9/8/05,551,0,30,327,82,0,0,0,112,0
8/8/05,385,0,69,128,99,1,0,0,88,0
30/1/13,297,0,9,15,225,4,1,5,38,0
31/1/13,305,0,32,13,184,13,0,14,49,0
19/8/15,963,0,31,563,84,3,0,3,279,0
8/10/16,1040,0,3,50,431,1,1,5,549,0
9/10/16,923,0,11,56,604,0,0,0,252,0
6/10/16,862,0,81,67,388,4,0,1,321,0
7/10/16,852,0,22,25,471,0,0,0,334,0
4/10/16,378,0,36,36,190,0,0,0,116,0
5/10/16,548,0,57,81,108,0,0,0,302,0
2/10/16,614,0,50,12,536,0,0,0,16,0
3/10/16,191,0,3,15,19,0,0,0,154,0
1/10/16,389,0,33,20,196,0,0,0,140,0
13/9/16,156,0,0,52,92,0,0,0,12,0
12/9/16,234,0,11,109,92,0,2,0,20,0
11/9/16,174,0,17,48,99,0,0,0,10,0
10/9/16,116,0,3,61,26,0,0,0,26,0
28/3/12,734,0,26,19,16,149,1,183,340,0
29/3/12,325,0,67,3,13,56,4,82,100,0
15/9/16,80,0,0,44,8,0,0,0,28,0
14/9/16,104,0,0,32,52,1,0,0,19,0
24/3/12,89,0,14,6,35,0,0,0,34,0
25/3/12,89,0,37,9,8,0,7,3,25,0
26/3/12,347,0,41,19,22,58,4,27,176,0
27/3/12,382,0,4,36,26,2,11,3,300,0
20/3/12,179,0,85,2,0,2,3,56,31,0
21/3/12,97,0,30,7,0,0,0,1,59,0
22/3/12,78,0,41,0,2,0,0,9,26,0
23/3/12,99,0,14,15,10,0,0,4,56,0
28/11/13,372,0,30,28,241,24,0,0,49,0
31/12/01,569,0,293,80,12,6,0,0,178,0
