Date,All,ACT,NSW,NRT,QSL,SA,TAS,VIC,WA,Other
2008-11-17,743,0,1,133,510,0,0,2,97,0
2008-11-16,1055,0,0,256,655,0,10,0,134,0
2008-11-15,1454,0,1,59,1246,1,5,0,142,0
2008-11-14,1518,0,15,215,1092,0,2,4,190,0
2008-11-13,1545,0,1,72,1231,0,0,0,241,0
2008-11-12,1383,0,10,272,625,0,0,2,474,0
2008-11-11,1300,0,6,368,575,3,0,3,345,0
2008-11-10,1023,0,37,258,487,1,2,2,236,0
2008-11-19,322,0,0,89,142,0,0,0,91,0
2008-11-18,520,0,0,108,316,0,2,0,94,0
2004-05-27,243,0,35,67,22,6,3,3,107,0
2004-05-26,89,0,14,8,11,4,0,8,44,0
2004-05-25,297,0,0,169,19,21,0,12,76,0
2004-05-24,100,0,12,18,28,18,1,4,19,0
2004-05-23,108,0,7,46,21,2,2,1,29,0
2004-05-22,554,0,243,85,18,19,0,166,23,0
2001-08-30,2077,0,46,1289,240,0,0,2,500,0
2001-08-31,1557,0,10,833,383,0,0,0,331,0
2004-05-29,399,0,192,6,26,4,5,61,105,0
2004-05-28,117,0,31,1,33,2,1,0,49,0
2015-12-14,338,0,33,35,69,6,1,1,193,0
2015-12-15,276,0,0,65,59,3,0,3,146,0
2015-12-16,208,0,3,21,40,0,0,5,139,0
2015-12-17,229,2,15,13,44,3,2,0,150,0
2015-12-10,258,0,7,23,166,22,0,2,38,0
2015-12-11,302,5,5,94,142,2,0,0,54,0
2015-12-12,142,0,9,23,51,8,0,0,51,0
2015-12-13,209,0,16,43,53,4,1,0,92,0
2015-12-18,211,1,22,5,39,4,0,1,139,0
2015-12-19,327,0,35,4,105,12,0,0,171,0
2006-12-30,288,0,1,29,117,9,2,55,75,0
2006-12-31,234,0,0,15,80,68,0,13,58,0
2014-03-31,363,0,136,25,7,1,7,77,110,0
2014-03-30,184,0,15,4,4,13,0,21,127,0
2005-05-31,1001,0,102,280,166,8,6,0,439,0
2005-05-30,1564,0,111,799,78,48,3,27,498,0
2012-02-27,97,0,0,12,0,2,0,0,83,0
2009-02-13,170,0,0,0,1,2,2,156,9,0
2004-07-30,387,0,21,243,42,1,3,1,76,0
2004-07-31,314,0,26,161,43,1,0,0,83,0
2012-02-25,249,0,5,43,2,11,19,22,147,0
2012-02-24,238,1,70,16,1,13,0,3,134,0
2004-05-21,585,0,317,9,32,104,0,64,59,0
2009-02-16,130,0,0,0,6,0,0,111,13,0
2004-05-20,498,0,249,3,32,57,2,4,151,0
2009-02-17,82,0,1,0,5,1,0,73,2,0
2009-02-14,118,0,0,1,3,0,0,87,27,0
2009-02-15,157,0,0,0,8,0,0,126,23,0
2009-10-31,983,0,3,172,540,0,4,2,262,0
2009-10-30,1395,0,3,343,243,6,1,0,799,0
2011-06-30,668,0,23,558,16,6,2,2,61,0
2017-11-28,3166,0,5,103,100,18,0,9,2931,0
2017-11-29,2212,0,8,185,200,0,0,3,1816,0
2017-11-26,890,0,8,19,157,2,0,0,704,0
2017-11-27,1442,0,4,23,136,6,6,6,1261,0
2017-11-24,486,0,11,35,87,1,1,0,351,0
2017-11-25,609,0,23,60,57,8,0,0,461,0
2017-11-22,439,0,3,99,42,0,0,2,293,0
2017-11-23,478,0,12,94,37,3,3,6,323,0
2017-11-20,783,0,3,136,263,4,0,0,377,0
2017-11-21,667,0,9,150,65,5,2,1,435,0
2015-06-24,324,0,1,107,54,0,0,0,162,0
2001-03-29,238,0,28,72,7,16,16,11,88,0
2004-03-30,210,7,83,3,24,3,8,0,82,0
2004-03-31,264,3,72,1,54,2,0,4,128,0
2015-06-28,398,0,6,281,57,2,0,0,52,0
2001-03-25,55,0,2,6,24,0,0,1,22,0
2008-05-12,613,2,73,93,61,24,12,17,331,0
2008-05-13,1052,0,81,302,44,92,24,103,406,0
2008-05-10,492,0,49,86,59,3,3,1,291,0
2008-05-11,869,0,4,330,18,8,2,2,505,0
2008-05-16,743,0,17,341,60,1,2,3,319,0
2008-05-17,446,0,5,231,44,0,0,0,166,0
2008-05-14,714,0,75,66,64,67,13,90,339,0
2008-05-15,740,0,118,253,38,2,53,53,223,0
2008-05-18,808,0,18,454,25,0,2,0,309,0
2008-05-19,458,0,44,155,76,4,1,0,178,0
2009-11-18,2036,0,48,254,1529,0,0,0,205,0
2009-11-19,1873,0,56,587,1041,2,14,1,172,0
2012-11-29,1468,0,11,81,1161,44,9,0,162,0
2012-11-28,1763,0,77,97,1248,60,2,2,277,0
2009-11-12,1646,0,18,884,494,6,0,0,244,0
2012-11-26,1724,0,8,139,1344,36,0,0,197,0
2012-11-25,1614,0,4,466,704,22,12,0,406,0
2012-11-24,2119,0,6,222,1435,83,1,0,372,0
2012-11-23,2152,0,10,141,793,136,11,11,1050,0
2012-11-22,1981,0,55,311,802,56,1,3,753,0
2009-11-14,2177,0,7,1220,633,3,6,1,306,1
2012-11-20,3569,0,20,414,1444,192,3,0,1496,0
2002-07-30,205,0,21,81,41,1,0,2,59,0
2002-07-31,252,0,7,198,28,0,0,0,19,0
2005-08-09,551,0,30,327,82,0,0,0,112,0
2005-08-08,385,0,69,128,99,1,0,0,88,0
2013-01-30,297,0,9,15,225,4,1,5,38,0
2013-01-31,305,0,32,13,184,13,0,14,49,0
2015-08-19,963,0,31,563,84,3,0,3,279,0
2016-10-08,1040,0,3,50,431,1,1,5,549,0
2016-10-09,923,0,11,56,604,0,0,0,252,0
2016-10-06,862,0,81,67,388,4,0,1,321,0
2016-10-07,852,0,22,25,471,0,0,0,334,0
2016-10-04,378,0,36,36,190,0,0,0,116,0
2016-10-05,548,0,57,81,108,0,0,0,302,0
2016-10-02,614,0,50,12,536,0,0,0,16,0
2016-10-03,191,0,3,15,19,0,0,0,154,0
2016-10-01,389,0,33,20,196,0,0,0,140,0
2016-09-13,156,0,0,52,92,0,0,0,12,0
2016-09-12,234,0,11,109,92,0,2,0,20,0
2016-09-11,174,0,17,48,99,0,0,0,10,0
2016-09-10,116,0,3,61,26,0,0,0,26,0
2012-03-28,734,0,26,19,16,149,1,183,340,0
2012-03-29,325,0,67,3,13,56,4,82,100,0
2016-09-15,80,0,0,44,8,0,0,0,28,0
2016-09-14,104,0,0,32,52,1,0,0,19,0
2012-03-24,89,0,14,6,35,0,0,0,34,0
2012-03-25,89,0,37,9,8,0,7,3,25,0
2012-03-26,347,0,41,19,22,58,4,27,176,0
2012-03-27,382,0,4,36,26,2,11,3,300,0
2012-03-20,179,0,85,2,0,2,3,56,31,0
2012-03-21,97,0,30,7,0,0,0,1,59,0
2012-03-22,78,0,41,0,2,0,0,9,26,0
2012-03-23,99,0,14,15,10,0,0,4,56,0
2013-11-28,372,0,30,28,241,24,0,0,49,0
2001-12-31,569,0,293,80,12,6,0,0,178,0
2013-11-29,208,0,1,10,111,27,0,0,59,0
2001-12-30,675,0,53,37,312,1,0,0,272,0
2005-10-24,426,0,15,102,200,0,0,1,108,0
2016-05-09,81,0,0,2,14,1,0,0,64,0
2005-10-26,485,0,17,115,150,0,0,0,203,0
2005-10-27,666,0,23,174,325,2,0,1,141,0
2005-10-20,461,0,0,123,268,1,0,0,69,0
2005-10-21,440,0,1,249,100,0,0,0,90,0
2005-10-22,481,0,12,70,342,0,0,0,56,1
2005-10-23,643,0,6,223,329,2,0,0,83,0
2016-05-01,323,0,26,91,7,1,0,3,195,0
2016-05-02,153,0,24,3,19,4,0,8,95,0
2016-05-03,305,0,81,6,8,0,0,11,199,0
2016-05-04,379,1,134,49,34,2,0,11,148,0
2016-05-05,574,2,335,25,25,61,0,48,78,0
2016-05-06,692,0,320,73,36,135,0,90,38,0
2016-05-07,190,1,104,5,28,2,0,47,3,0
2013-11-24,154,0,9,8,69,11,0,1,56,0
2013-11-25,360,0,15,6,245,9,0,6,79,0
2012-04-07,679,0,45,36,31,2,0,12,553,0
2012-04-06,592,0,40,112,9,7,0,31,393,0
2012-04-05,661,1,204,69,6,33,8,137,203,0
2012-04-04,848,0,123,63,12,105,41,134,370,0
2012-04-03,528,0,151,26,49,52,11,112,127,0
2012-04-02,351,0,45,24,18,20,1,38,205,0
2012-04-01,222,0,24,20,25,1,6,36,110,0
2014-12-24,220,0,0,19,174,0,0,0,27,0
2014-12-25,267,0,3,0,201,0,1,7,53,2
2014-12-26,144,0,14,0,100,0,1,3,26,0
2014-12-27,264,0,0,5,225,0,0,8,26,0
2014-12-20,467,0,12,26,277,0,0,10,142,0
2014-12-21,309,0,8,47,161,2,0,0,91,0
2012-04-09,556,0,32,37,26,0,0,0,461,0
2012-04-08,363,0,3,33,17,0,0,2,308,0
2009-01-24,20,0,0,0,0,0,3,0,17,0
2015-09-30,1046,0,35,201,354,0,0,0,456,0
2009-01-25,31,0,4,0,2,1,7,0,17,0
2002-09-30,2439,0,170,1128,668,1,1,2,469,0
2012-07-28,765,0,12,288,216,0,0,0,249,0
2012-07-29,1044,0,3,607,156,0,0,0,278,0
2012-07-20,944,0,5,790,50,1,0,2,96,0
2012-07-21,580,0,6,358,88,0,0,0,128,0
2012-07-22,987,0,4,677,158,0,1,0,147,0
2012-07-23,666,0,7,407,83,0,0,0,169,0
2012-07-24,622,0,8,377,131,0,0,0,106,0
2012-07-25,382,0,6,202,57,1,0,0,116,0
2012-07-26,444,0,16,199,127,0,0,0,102,0
2012-07-27,780,0,10,516,99,0,0,1,154,0
2006-04-30,133,0,3,0,2,3,0,0,125,0
2012-10-09,2223,0,64,719,746,2,0,0,692,0
2003-07-31,470,0,40,168,77,0,0,0,185,0
2003-07-30,494,0,23,224,74,1,0,0,172,0
2010-09-19,281,0,8,186,7,0,0,0,80,0
2012-10-02,2031,0,42,835,391,3,0,1,759,0
2007-02-02,170,0,6,11,23,1,0,1,128,0
2010-09-11,320,0,20,80,177,0,0,0,43,0
2010-09-10,127,0,4,57,52,0,0,0,14,0
2010-09-13,354,0,2,142,170,0,0,0,40,0
2010-09-12,238,0,6,101,111,0,0,0,20,0
2010-09-15,289,0,3,67,189,0,3,0,27,0
2010-09-14,382,0,5,31,326,1,7,1,11,0
2010-09-17,334,0,11,204,39,0,1,1,78,0
2010-09-16,456,0,8,67,371,0,1,0,9,0
2016-01-04,48,0,0,13,6,0,2,0,27,0
2016-01-05,133,0,2,18,46,0,0,0,67,0
2016-01-06,472,0,4,19,175,0,0,0,274,0
2016-01-07,460,0,12,18,118,2,0,1,309,0
2008-06-17,144,0,34,34,43,0,3,4,26,0
2016-01-01,84,0,1,5,53,0,0,0,25,0
2016-01-02,123,0,2,28,18,0,29,0,46,0
2016-01-03,184,0,0,111,2,0,5,1,65,0
2007-02-07,130,6,41,0,33,0,0,0,50,0
2008-06-19,225,0,1,159,12,1,0,0,52,0
2008-06-18,104,0,8,64,15,1,1,2,13,0
2016-01-08,445,0,19,13,115,13,0,1,284,0
